Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
3,تشييد المباني,167216,225616,128292,97324,1618963,1597509,21454,1844579,11
2,تشييد المباني,151919,219384,124770,94614,1578805,1558048,20757,1798189,10
1,تشييد المباني,146235,209935,120183,89752,1479922,1463485,16437,1689857,9
1,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,170612,202770,94817,107953,638590,626219,12371,841360,9
2,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,172189,194753,91967,102786,644284,631349,12935,839037,10
3,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,175298,188908,89333,99575,642821,629762,13059,831729,11
2,أنشطة التشييد المتخصصة,64361,104232,63834,40398,571284,565266,6018,675516,10
3,أنشطة التشييد المتخصصة,66701,103940,63792,40148,567251,560632,6619,671191,11
1,أنشطة التشييد المتخصصة,63400,105509,65324,40185,559666,553958,5708,665175,9
1,أنشطة خدمات الأطعمة والمشروبات,93980,119511,57668,61843,489443,483972,5471,608954,9
2,أنشطة خدمات الأطعمة والمشروبات,94455,116662,55792,60870,492103,486144,5959,608765,10
3,أنشطة خدمات الأطعمة والمشروبات,96348,112204,52729,59475,489956,483458,6498,602160,11
1,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15247,87924,50003,37921,422874,406165,16709,510798,9
3,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,71118,154986,77899,77087,355380,348635,6745,510366,11
2,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,69970,155187,78307,76880,354973,348686,6287,510160,10
1,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,69413,157729,80604,77125,350276,344497,5779,508005,9
2,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15070,82821,47380,35441,420526,404399,16127,503347,10
3,أنشطة تقديم الخدمات للمباني وتجميل المواقع,15060,80105,46253,33852,413233,396946,16287,493338,11
3,الهندسة المدنية,8602,84341,60394,23947,374211,371174,3037,458552,11
2,الهندسة المدنية,7793,82688,58997,23691,361037,358176,2861,443725,10
1,الهندسة المدنية,7258,84672,59700,24972,358024,355773,2251,442696,9
3,أنشطة الاستخدام,3017,17716,4883,12833,389957,234900,155057,407673,11
3,النقل البري و النقل عبر الأنابيب,45558,77400,48876,28524,315894,314420,1474,393294,11
2,النقل البري و النقل عبر الأنابيب,42746,74810,47472,27338,302495,301136,1359,377305,10
2,أنشطة الاستخدام,2893,16613,4664,11949,359027,220851,138176,375640,10
1,النقل البري و النقل عبر الأنابيب,41569,73853,47322,26531,288062,286782,1280,361915,9
1,أنشطة الاستخدام,2856,17050,4667,12383,324052,204624,119428,341102,9
3,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,68001,52543,33867,18676,256699,255625,1074,309242,11
2,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,66368,51499,33330,18169,251970,250992,978,303469,10
1,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,65545,50478,32880,17598,246561,245636,925,297039,9
2,الصحة البشرية,5963,83353,26576,56777,168093,89086,79007,251446,10
3,الصحة البشرية,6130,84644,27051,57593,166369,85660,80709,251013,11
1,الصحة البشرية,5926,82610,26258,56352,167234,90940,76294,249844,9
3,صُنع المنتجات الغذائية,12462,57536,31271,26265,184291,182619,1672,241827,11
2,صُنع المنتجات الغذائية,11644,51318,27550,23768,169816,168456,1360,221134,10
1,صُنع المنتجات الغذائية,11196,47288,25095,22193,156762,155421,1341,204050,9
3,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,19648,20895,13520,7375,171151,168110,3041,192046,11
3,إصلاح وتركيب الآلات والمعدات,9119,69937,51158,18779,120519,114572,5947,190456,11
1,الأنشطة الإيجارية,58972,13659,8968,4691,173139,172150,989,186798,9
2,الأنشطة الإيجارية,58273,13596,8927,4669,172740,171746,994,186336,10
3,الأنشطة الإيجارية,57300,13107,8651,4456,170029,168986,1043,183136,11
3,صنع منتجات المعادن اللافلزية الأخرى,10118,40689,23854,16835,140059,139512,547,180748,11
2,إصلاح وتركيب الآلات والمعدات,8396,67827,49959,17868,112661,106600,6061,180488,10
1,صنع منتجات المعادن اللافلزية الأخرى,7716,40980,24290,16690,138179,137632,547,179159,9
2,صنع منتجات المعادن اللافلزية الأخرى,7942,40645,23867,16778,137868,137332,536,178513,10
1,إصلاح وتركيب الآلات والمعدات,7963,66297,49056,17241,111387,105340,6047,177684,9
2,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,19570,18094,11652,6442,158139,157033,1106,176233,10
3,التعليم,12169,85977,28676,57301,83447,70453,12994,169424,11
1,التعليم,12091,86387,30019,56368,80458,68789,11669,166845,9
3,التخزين وأنشطة الدعم للنقل,14622,47424,30472,16952,116883,114334,2549,164307,11
3,أنشطة الخدمات الشخصية الأخرى,51613,18105,5269,12836,146004,121708,24296,164109,11
2,أنشطة الخدمات الشخصية الأخرى,50895,18390,5469,12921,144963,121179,23784,163353,10
2,التخزين وأنشطة الدعم للنقل,12755,46561,30208,16353,111808,110053,1755,158369,10
1,أنشطة الخدمات الشخصية الأخرى,49941,18066,5232,12834,139776,117074,22702,157842,9
2,التعليم,12014,73456,27243,46213,79580,68135,11445,153036,10
1,التخزين وأنشطة الدعم للنقل,11878,47347,30704,16643,102991,101576,1415,150338,9
1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,19357,17734,11555,6179,129304,128518,786,147038,9
2,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),15588,33510,20208,13302,111737,111379,358,145247,10
3,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),15724,32028,19401,12627,110181,109757,424,142209,11
1,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),15445,31079,19150,11929,103794,103502,292,134873,9
3,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,10519,36081,22826,13255,68372,67089,1283,104453,11
2,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,10367,35653,22366,13287,68016,66784,1232,103669,10
1,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,10367,35302,22205,13097,67007,65851,1156,102309,9
2,صُنع المواد الكيميائية والمنتجات الكيميائية,2764,39491,29830,9661,57460,56994,466,96951,10
3,صُنع المواد الكيميائية والمنتجات الكيميائية,2848,39699,30299,9400,57028,56660,368,96727,11
1,صُنع المواد الكيميائية والمنتجات الكيميائية,2658,39003,29722,9281,55092,54737,355,94095,9
2,استخراج النفط الخام والغاز الطبيعي,102,70391,65509,4882,9652,8908,744,80043,10
3,استخراج النفط الخام والغاز الطبيعي,101,70187,65217,4970,9572,8800,772,79759,11
1,استخراج النفط الخام والغاز الطبيعي,101,69821,65144,4677,9391,8683,708,79212,9
2,الإقامة,6703,26339,15842,10497,46575,45530,1045,72914,10
1,الإقامة,6574,26504,15812,10692,45913,44969,944,72417,9
3,الإقامة,6873,26409,15835,10574,45653,44511,1142,72062,11
3,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,1179,9890,5520,4370,59914,57464,2450,69804,11
3,صُنع الملبوسات,17055,8900,3230,5670,56556,53065,3491,65456,11
2,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,1055,8799,5008,3791,56609,54084,2525,65408,10
2,صُنع الملبوسات,16726,8853,3207,5646,55754,52269,3485,64607,10
1,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,970,8462,4801,3661,54084,51474,2610,62546,9
1,صُنع الملبوسات,16641,8143,2641,5502,53845,50516,3329,61988,9
3,الأنشطة الأخرى للتعدين واستغلال المحاجر,1528,11541,8231,3310,45851,45408,443,57392,11
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4521,30285,15864,14421,26622,25079,1543,56907,11
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4259,30462,16069,14393,26214,24810,1404,56676,9
3,أنشطة خدمات دعم التعدين,499,35935,33585,2350,20476,20348,128,56411,11
2,أنشطة خدمات دعم التعدين,441,36200,33899,2301,20122,19996,126,56322,10
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4331,29621,15530,14091,26273,24784,1489,55894,10
3,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,5596,11468,5423,6045,44034,43766,268,55502,11
3,الأنشطة العقارية,9318,22205,14092,8113,32687,31753,934,54892,11
1,الأنشطة العقارية,8781,22290,14081,8209,32573,31769,804,54863,9
1,أنشطة خدمات دعم التعدين,408,35972,33680,2292,18843,18736,107,54815,9
2,الأنشطة العقارية,8987,21989,13911,8078,32814,31947,867,54803,10
3,صنع الفلزات القاعدية,1543,15959,10676,5283,37701,37578,123,53660,11
2,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,5353,10684,5036,5648,41788,41559,229,52472,10
2,صنع الفلزات القاعدية,1546,15454,10447,5007,36449,36335,114,51903,10
2,صنع الأثاث,6453,9266,3626,5640,41799,41570,229,51065,10
1,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,5191,10614,4921,5693,40371,40156,215,50985,9
1,صنع الفلزات القاعدية,1534,15254,10369,4885,35618,35515,103,50872,9
3,صنع منتجات المطاط واللدائن,2051,12716,6985,5731,37985,37835,150,50701,11
1,صنع الأثاث,6399,9369,3768,5601,41162,40955,207,50531,9
3,صنع الأثاث,6601,8967,3486,5481,41547,41292,255,50514,11
3,أنشطة الأمن والتحقيقات,502,48725,44372,4353,1294,1262,32,50019,11
3,الصرف الصحي,925,8083,5735,2348,41842,41354,488,49925,11
2,صنع منتجات المطاط واللدائن,1830,12436,6933,5503,37174,37030,144,49610,10
1,صنع منتجات المطاط واللدائن,1753,12639,7008,5631,36787,36643,144,49426,9
3,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,8502,20081,11237,8844,29106,27691,1415,49187,11
1,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8144,2308,1277,1031,46131,45905,226,48439,9
2,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,8230,19475,10799,8676,27955,26607,1348,47430,10
1,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,8105,19627,10788,8839,27723,26431,1292,47350,9
2,أنشطة الأمن والتحقيقات,504,45761,41556,4205,1293,1273,20,47054,10
1,أنشطة الأمن والتحقيقات,510,45402,41191,4211,1243,1222,21,46645,9
3,توصيل الكهرباء والغاز والبخار وتكييف الهواء,842,33171,30814,2357,13174,12486,688,46345,11
2,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8194,2225,1253,972,43763,43472,291,45988,10
3,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1661,35661,26053,9608,10321,9864,457,45982,11
2,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1635,34845,25628,9217,10130,9703,427,44975,10
3,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,8358,2102,1175,927,42721,42438,283,44823,11
1,أبحاث الإعلان والسوق,7031,20367,12257,8110,24246,22608,1638,44613,9
1,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1610,34679,25641,9038,9907,9487,420,44586,9
2,أبحاث الإعلان والسوق,7048,20019,12085,7934,24337,22677,1660,44356,10
3,أبحاث الإعلان والسوق,7266,19492,11677,7815,24458,22740,1718,43950,11
2,الأنشطة الأخرى للتعدين واستغلال المحاجر,1426,8902,6507,2395,33994,33939,55,42896,10
1,أنشطة العمل الاجتماعي، دون إقامة,5421,24763,8695,16068,17800,15828,1972,42563,9
3,أنشطة العمل الاجتماعي، دون إقامة,5473,24608,8492,16116,17642,15536,2106,42250,11
3,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,2402,24800,13604,11196,16818,15376,1442,41618,11
2,توصيل الكهرباء والغاز والبخار وتكييف الهواء,745,31360,29916,1444,9628,9540,88,40988,10
2,الصرف الصحي,818,7426,5118,2308,33054,32611,443,40480,10
1,توصيل الكهرباء والغاز والبخار وتكييف الهواء,709,31468,30076,1392,8869,8798,71,40337,9
3,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,651,35386,26037,9349,4135,3895,240,39521,11
2,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,647,35003,25870,9133,4180,3942,238,39183,10
1,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,654,34875,25809,9066,4252,4021,231,39127,9
2,أنشطة العمل الاجتماعي، دون إقامة,5361,20756,8079,12677,17453,15513,1940,38209,10
