Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3396,28825,17394,11431,25585,24715,870,54410,2022-4
4,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3685,30051,17763,12288,24214,23264,950,54265,2022-10
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3234,27490,16783,10707,25318,24508,810,52808,2022-1
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3606,28775,17146,11629,23355,22496,859,52130,2022-7
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3754,31539,18536,13003,25496,24402,1094,57035,2023-1
4,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4046,29155,15293,13862,25355,24052,1303,54510,2023-10
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3808,28634,16551,12083,23165,22060,1105,51799,2023-4
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,3872,27648,15517,12131,23339,22182,1157,50987,2023-7
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4521,30285,15864,14421,26622,25079,1543,56907,2024-7
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4259,30462,16069,14393,26214,24810,1404,56676,2024-1
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4331,29621,15530,14091,26273,24784,1489,55894,2024-4
