region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة الرياض,تشييد المباني,50752,88433,46044,42389,650125,636993,13132,738558
المنطقة الشرقية,تشييد المباني,26470,69967,44475,25492,412751,410421,2330,482718
منطقة مكة المكرمة,تشييد المباني,33594,40950,23102,17848,296131,292241,3890,337081
منطقة الرياض,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,49259,73405,33479,39926,226143,221432,4711,299548
منطقة الرياض,أنشطة التشييد المتخصصة,20294,49238,28642,20596,239010,234562,4448,288248
منطقة الرياض,أنشطة الاستخدام,1098,14705,3371,11334,262861,151051,111810,277566
منطقة الرياض,أنشطة تقديم الخدمات للمباني وتجميل المواقع,5509,39194,21129,18065,192020,181704,10316,231214
منطقة مكة المكرمة,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,42745,50398,23228,27170,161074,156285,4789,211472
منطقة الرياض,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,23692,70294,34433,35861,138593,135214,3379,208887
منطقة الرياض,الهندسة المدنية,3578,39375,27140,12235,165085,163335,1750,204460
منطقة الرياض,أنشطة خدمات الأطعمة والمشروبات,20603,41816,19317,22499,152584,149941,2643,194400
منطقة الرياض,النقل البري و النقل عبر الأنابيب,24505,36877,25089,11788,147625,146826,799,184502
المنطقة الشرقية,أنشطة التشييد المتخصصة,10532,30182,21505,8677,148607,147993,614,178789
المنطقة الشرقية,الهندسة المدنية,1878,28990,22408,6582,133289,132369,920,162279
منطقة مكة المكرمة,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,21308,43233,20517,22716,108581,106148,2433,151814
منطقة مكة المكرمة,أنشطة خدمات الأطعمة والمشروبات,23710,27886,13244,14642,119133,117090,2043,147019
منطقة الرياض,الأنشطة الإيجارية,44739,5342,3245,2097,127396,126652,744,132738
منطقة الرياض,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,7985,12935,8666,4269,115240,112584,2656,128175
المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,22355,28722,13658,15064,85024,82990,2034,113746
منطقة مكة المكرمة,أنشطة التشييد المتخصصة,15454,16064,9197,6867,94442,93453,989,110506
منطقة الرياض,الصحة البشرية,2256,31667,10820,20847,74843,41988,32855,106510
منطقة الرياض,إصلاح وتركيب الآلات والمعدات,2901,45440,33829,11611,59398,54661,4737,104838
المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,14302,20556,9043,11513,82425,81633,792,102981
منطقة الرياض,صُنع المنتجات الغذائية,3905,24217,13917,10300,78700,78084,616,102917
منطقة الرياض,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,18865,18509,10971,7538,83099,82711,388,101608
المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,1760,13651,9090,4561,80868,79472,1396,94519
منطقة مكة المكرمة,أنشطة تقديم الخدمات للمباني وتجميل المواقع,3614,18102,10663,7439,74836,72292,2544,92938
منطقة الرياض,التعليم,8434,37905,12562,25343,48787,42674,6113,86692
المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,3611,18274,11669,6605,62509,62443,66,80783
منطقة القصيم,تشييد المباني,12613,5913,3559,2354,74650,74247,403,80563
منطقة الرياض,التخزين وأنشطة الدعم للنقل,7700,21012,11760,9252,59257,57600,1657,80269
منطقة الرياض,صنع منتجات المعادن اللافلزية الأخرى,5699,15151,7748,7403,64987,64620,367,80138
المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,58,69753,64817,4936,9285,8529,756,79038
المنطقة الشرقية,أنشطة الاستخدام,422,1316,756,560,77545,52483,25062,78861
المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,9408,25097,13872,11225,52021,51567,454,77118
منطقة مكة المكرمة,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,14499,14566,10074,4492,57636,57286,350,72202
منطقة مكة المكرمة,النقل البري و النقل عبر الأنابيب,6169,14115,7568,6547,54640,54215,425,68755
منطقة مكة المكرمة,صُنع المنتجات الغذائية,2771,17193,9082,8111,46173,45460,713,63366
منطقة المدينة المنورة,تشييد المباني,9229,6078,3229,2849,49398,48661,737,55476
منطقة مكة المكرمة,الهندسة المدنية,1530,9669,6736,2933,44165,43950,215,53834
المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,9948,10179,6700,3479,42982,42856,126,53161
منطقة مكة المكرمة,الصحة البشرية,1402,18988,5794,13194,33735,16088,17647,52723
منطقة الرياض,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,6176,16875,10192,6683,35843,34987,856,52718
منطقة الرياض,أنشطة الخدمات الشخصية الأخرى,13608,7822,2191,5631,44606,35009,9597,52428
منطقة الرياض,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),4329,11096,4883,6213,41111,40886,225,52207
المنطقة الشرقية,أنشطة خدمات دعم التعدين,218,34028,32260,1768,17509,17409,100,51537
المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,1860,14515,10291,4224,35528,34684,844,50043
منطقة الرياض,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,2870,26205,13734,12471,20711,19450,1261,46916
منطقة عسير,تشييد المباني,10261,4875,2884,1991,41039,40767,272,45914
المنطقة الشرقية,الصحة البشرية,736,17513,5341,12172,27630,13191,14439,45143
منطقة المدينة المنورة,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,12416,8078,4176,3902,36256,35794,462,44334
منطقة مكة المكرمة,التخزين وأنشطة الدعم للنقل,2500,14899,10559,4340,27982,27262,720,42881
منطقة الرياض,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,451,4784,2718,2066,37405,36312,1093,42189
المنطقة الشرقية,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),2474,12445,9510,2935,26859,26803,56,39304
منطقة عسير,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,11490,7539,3857,3682,31511,31248,263,39050
منطقة القصيم,أنشطة تقديم الخدمات للمباني وتجميل المواقع,1554,3696,2031,1665,34864,34151,713,38560
منطقة الرياض,صُنع المواد الكيميائية والمنتجات الكيميائية,1325,12023,7292,4731,24347,24204,143,36370
منطقة الرياض,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,1661,22655,12382,10273,13698,12413,1285,36353
منطقة الرياض,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,410,32419,24230,8189,3213,3027,186,35632
منطقة عسير,أنشطة خدمات الأطعمة والمشروبات,8191,5088,2549,2539,29490,29287,203,34578
منطقة مكة المكرمة,أنشطة الخدمات الشخصية الأخرى,11117,3627,1008,2619,30094,24586,5508,33721
منطقة الرياض,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,855,27586,20606,6980,5746,5449,297,33332
منطقة مكة المكرمة,التعليم,1241,18683,6319,12364,14163,10607,3556,32846
منطقة القصيم,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,8450,6425,3788,2637,26300,26090,210,32725
منطقة المدينة المنورة,أنشطة خدمات الأطعمة والمشروبات,7094,5222,2745,2477,27315,27088,227,32537
منطقة الرياض,أنشطة الأمن والتحقيقات,213,30346,27530,2816,640,623,17,30986
المنطقة الشرقية,صُنع المواد الكيميائية والمنتجات الكيميائية,501,16513,14917,1596,13250,13202,48,29763
المنطقة الشرقية,صُنع المنتجات الغذائية,1473,7132,3685,3447,22608,22503,105,29740
المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,8282,3373,932,2441,26108,22108,4000,29481
منطقة الرياض,الصرف الصحي,339,4374,3236,1138,24006,23900,106,28380
المنطقة الشرقية,صنع منتجات المعادن اللافلزية الأخرى,929,7322,4608,2714,20989,20905,84,28311
منطقة جازان,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,8685,4334,2191,2143,23392,23178,214,27726
المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,999,11176,7847,3329,15804,15625,179,26980
منطقة الرياض,الأنشطة الأخرى للتعدين واستغلال المحاجر,599,4407,3065,1342,22314,22245,69,26721
منطقة مكة المكرمة,الإقامة,2310,9986,6215,3771,16479,16023,456,26465
منطقة الرياض,الأنشطة العقارية,3676,12396,8130,4266,13933,13532,401,26329
منطقة مكة المكرمة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),2836,5647,3502,2145,20459,20361,98,26106
المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,1623,8800,6399,2401,17274,17161,113,26074
منطقة مكة المكرمة,أنشطة الاستخدام,666,850,382,468,24703,17983,6720,25553
منطقة الرياض,أبحاث الإعلان والسوق,2967,13442,8864,4578,11185,10177,1008,24627
