Economic_Activity,Number_Of_Male_Saudis,Number_Of_Female_Saudis
أبحاث الإعلان والسوق,11677,7815
أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية والتسجيلات الصوتية ونشر الموسيقى,1801,1403
أنشطة الأمن والتحقيقات,44372,4353
أنشطة الاستخدام,4883,12833
أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,6
أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,15864,14421
أنشطة البرمجة والإذاعة,192,122
أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,2714,1422
أنشطة التشييد المتخصصة,63792,40148
أنشطة الخدمات الشخصية الأخرى,5269,12836
أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,26053,9608
أنشطة العمل الاجتماعي، دون إقامة,8492,16116
أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1924,469
أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,22826,13255
أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,13604,11196
أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,42,64
أنشطة المنظمات ذات العضوية,2156,1792
أنشطة المنظمات والهيئات غير الخاضعة للولاية القضائية الوطنية,79,39
أنشطة النشر,3586,2651
أنشطة تقديم الخدمات للمباني وتجميل المواقع,46253,33852
أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,5520,4370
أنشطة خدمات الأطعمة والمشروبات,52729,59475
أنشطة خدمات المعلومات,4626,4284
أنشطة خدمات دعم التعدين,33585,2350
أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,13520,7375
إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,1175,927
إصلاح وتركيب الآلات والمعدات,51158,18779
استخراج النفط الخام والغاز الطبيعي,65217,4970
الأنشطة الأخرى للتعدين واستغلال المحاجر,8231,3310
الأنشطة الإبداعية والفنون وأنشطة الترفيه,192,247
الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,11237,8844
الأنشطة الإيجارية,8651,4456
الأنشطة البيطرية,241,448
الأنشطة الرياضية وأنشطة التسلية والترفيه,3819,5490
الأنشطة العقارية,14092,8113
الأنشطة القانونية وأنشطة المحاسبة,11489,7481
الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,26037,9349
الأنشطة المهنية والعلمية والتقنية الأخرى,1430,1864
الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,0,0
الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,2591,1302
الإقامة,15835,10574
الاتصالات,7849,5049
البحث والتطوير في المجال العلمي,1999,502
التخزين وأنشطة الدعم للنقل,30472,16952
التعليم,28676,57301
الحراجة وقطع الأخشاب,132,119
الرعاية مع الإقامة,482,2128
الصحة البشرية,27051,57593
الصرف الصحي,5735,2348
الصناعة التحويلية الأخرى,4093,3111
الطباعة واستنساخ وسائط الأعلام المسجّلة,1879,2027
النقل البري و النقل عبر الأنابيب,48876,28524
النقل الجوي,7074,1004
النقل المائي,1473,696
الهندسة المدنية,60394,23947
تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,89333,99575
تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,77899,77087
تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,33867,18676
تجميع المياه ومعالجتها وتوصيلها,4859,1968
تشييد المباني,128292,97324
تعدين الفحم والليغنيت,31,46
تعدين ركازات الفلزات,1229,172
تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,4719,3182
توصيل الكهرباء والغاز والبخار وتكييف الهواء,30814,2357
صناعة الآلات والمعدات غير المصنفة في موضع أخر,5367,2041
صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,2226,1459
صناعة معدات النقل الأخرى,6183,442
صنع الأثاث,3486,5481
صنع الحواسيب والمنتجات الإلكترونية والبصرية,3212,660
صنع الفلزات القاعدية,10676,5283
صنع المعدات الكهربائية,6827,2949
صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,1785,1282
صنع فحم الكوك والمنتجات النفطية المكررة,11021,990
صنع منتجات المطاط واللدائن,6985,5731
صنع منتجات المعادن اللافلزية الأخرى,23854,16835
صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),19401,12627
صيد الأسماك وتربية المائيات,511,253
صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,5423,6045
صُنع المشروبات,5513,4290
صُنع الملبوسات,3230,5670
صُنع المنتجات الجلدية والمنتجات ذات الصلة,114,262
صُنع المنتجات الغذائية,31271,26265
صُنع المنسوجات,2603,2348
صُنع المواد الكيميائية والمنتجات الكيميائية,30299,9400
صُنع الورق ومنتجات الورق,4595,3823
صُنع منتجات التبغ,7,0
غير معرف,18530,20898
وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,2843,2691
