region,Economic_Activity,Number_Of_Male_Saudis,Number_Of_Female_Saudis,total,Male_Percentage,Female_Percentage,Rate_Difference
المنطقة الشرقية,أنشطة الأمن والتحقيقات,8807,846,9653,91.24,8.76,82.48
المنطقة الشرقية,أنشطة التشييد المتخصصة,21417,8582,29999,71.39,28.61,42.78
المنطقة الشرقية,أنشطة الخدمات الشخصية الأخرى,897,2293,3190,28.12,71.88,43.76
المنطقة الشرقية,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,1647,1164,2811,58.59,41.41,17.18
المنطقة الشرقية,أنشطة العمل الاجتماعي، دون إقامة,821,3346,4167,19.7,80.3,60.6
المنطقة الشرقية,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,7782,3270,11052,70.41,29.59,40.82
المنطقة الشرقية,أنشطة تقديم الخدمات للمباني وتجميل المواقع,8974,4462,13436,66.79,33.21,33.58
المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,1517,1013,2530,59.96,40.04,19.92
المنطقة الشرقية,أنشطة خدمات الأطعمة والمشروبات,9018,11470,20488,44.02,55.98,11.96
المنطقة الشرقية,أنشطة خدمات دعم التعدين,32171,1719,33890,94.93,5.07,89.86
المنطقة الشرقية,إصلاح وتركيب الآلات والمعدات,10161,4125,14286,71.13,28.87,42.26
المنطقة الشرقية,استخراج النفط الخام والغاز الطبيعي,64759,4911,69670,92.95,7.05,85.9
المنطقة الشرقية,الأنشطة الأخرى للتعدين واستغلال المحاجر,2414,757,3171,76.13,23.87,52.26
المنطقة الشرقية,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,2132,830,2962,71.98,28.02,43.96
المنطقة الشرقية,الأنشطة الإيجارية,1966,916,2882,68.22,31.78,36.44
المنطقة الشرقية,الأنشطة العقارية,1475,790,2265,65.12,34.88,30.24
المنطقة الشرقية,الإقامة,1361,1122,2483,54.81,45.19,9.62
المنطقة الشرقية,التخزين وأنشطة الدعم للنقل,6285,2328,8613,72.97,27.03,45.94
المنطقة الشرقية,التعليم,4835,9323,14158,34.15,65.85,31.7
المنطقة الشرقية,الصحة البشرية,5252,11963,17215,30.51,69.49,38.98
المنطقة الشرقية,النقل البري و النقل عبر الأنابيب,11613,6515,18128,64.06,35.94,28.12
المنطقة الشرقية,الهندسة المدنية,22248,6445,28693,77.54,22.46,55.08
المنطقة الشرقية,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,13608,15029,28637,47.52,52.48,4.96
المنطقة الشرقية,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,13753,11178,24931,55.16,44.84,10.32
المنطقة الشرقية,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,6608,3377,9985,66.18,33.82,32.36
المنطقة الشرقية,تشييد المباني,44422,25471,69893,63.56,36.44,27.12
المنطقة الشرقية,توصيل الكهرباء والغاز والبخار وتكييف الهواء,6043,210,6253,96.64,3.36,93.28
