Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
1,تشييد المباني,3462,2910,1847,1063,21143,21056,87,24053,2022-1
2,تشييد المباني,3499,2881,1779,1102,20860,20772,88,23741,2022-4
3,تشييد المباني,3209,2526,1434,1092,17937,17890,47,20463,2022-7
4,تشييد المباني,3219,2423,1330,1093,17705,17656,49,20128,2022-10
2,أنشطة تقديم الخدمات للمباني وتجميل المواقع,264,2147,1472,675,10430,10332,98,12577,2022-4
1,أنشطة تقديم الخدمات للمباني وتجميل المواقع,262,2208,1542,666,10287,10184,103,12495,2022-1
3,أنشطة تقديم الخدمات للمباني وتجميل المواقع,242,1869,1213,656,9691,9622,69,11560,2022-7
2,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2771,1928,989,939,9558,9490,68,11486,2022-4
1,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2552,1841,935,906,9234,9157,77,11075,2022-1
4,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2989,1832,914,918,8950,8896,54,10782,2022-10
3,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,2967,1863,965,898,8866,8812,54,10729,2022-7
4,أنشطة تقديم الخدمات للمباني وتجميل المواقع,238,1784,1058,726,8832,8765,67,10616,2022-10
2,أنشطة خدمات الأطعمة والمشروبات,1745,1265,613,652,7517,7485,32,8782,2022-4
3,أنشطة خدمات الأطعمة والمشروبات,1862,1192,545,647,7457,7430,27,8649,2022-7
4,أنشطة خدمات الأطعمة والمشروبات,1887,1132,484,648,7359,7329,30,8491,2022-10
1,أنشطة خدمات الأطعمة والمشروبات,1574,1219,610,609,6908,6882,26,8127,2022-1
4,أنشطة التشييد المتخصصة,1215,769,479,290,6837,6827,10,7606,2022-10
4,غير معرف,3001,217,106,111,6751,6720,31,6968,2022-10
1,أنشطة التشييد المتخصصة,1293,833,515,318,6100,6067,33,6933,2022-1
3,أنشطة التشييد المتخصصة,1227,711,428,283,6174,6165,9,6885,2022-7
2,أنشطة التشييد المتخصصة,1321,777,478,299,6066,6039,27,6843,2022-4
3,غير معرف,2979,211,101,110,6621,6589,32,6832,2022-7
4,صيد الأسماك وتربية المائيات,1893,175,95,80,5356,5346,10,5531,2022-10
4,الهندسة المدنية,99,989,672,317,4403,4399,4,5392,2022-10
1,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,60,2788,2382,406,2566,1971,595,5354,2022-1
2,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,58,2783,2376,407,2565,1968,597,5348,2022-4
2,الهندسة المدنية,89,1019,744,275,4304,4301,3,5323,2022-4
3,الهندسة المدنية,99,993,692,301,4185,4182,3,5178,2022-7
2,غير معرف,2178,156,73,83,4788,4770,18,4944,2022-4
