region,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
المنطقة الشرقية,130365,522176,368853,153323,1367540,1326878,40662,1889716
منطقة الباحة,10087,6727,4249,2478,31515,30922,593,38242
منطقة الجوف,16822,10245,6148,4097,53739,52770,969,63984
منطقة الحدود الشمالية,10852,6802,4133,2669,37921,37082,839,44723
منطقة الرياض,459783,948631,543717,404914,3324668,3158194,166474,4273299
منطقة القصيم,56191,56036,33302,22734,327842,321949,5893,383878
منطقة المدينة المنورة,58785,69512,42090,27422,256451,249017,7434,325963
منطقة تبوك,24868,18071,9137,8934,84264,82698,1566,102335
منطقة جازان,40499,23169,12778,10391,125163,122389,2774,148332
منطقة حائل,29463,17191,9328,7863,103655,101300,2355,120846
منطقة عسير,62929,57256,35391,21865,246155,235745,10410,303411
منطقة مكة المكرمة,220697,441752,254945,186807,1380457,1333943,46514,1822209
منطقة نجران,24126,15884,8885,6999,102126,100663,1463,118010
